osm_id,code,fclass,name
358629599,3100,christian,Hodgeman Community Church
358629641,3100,christian,Peace Church
358629644,3100,christian,Mount Pleasant Church
358629652,3100,christian,West Salem Church
358629656,3100,christian,Triumph Church
358629678,3100,christian,Saints Peter and Paul Church
358629682,3100,christian,Zook Church
358629689,3100,christian,Eden Valley Church
358629695,3100,christian,New Hope Church
358629701,3100,christian,Calvary Church
358629706,3100,christian,Fairview Church
358629713,3100,christian,Sterling Church
358629719,3100,christian,Fairview Church
358629724,3100,christian,Salem Church
358629760,3100,christian,New Hope Church
358629775,3100,christian,Sulphur Springs Church
358629801,3100,christian,Hayes Church
358629912,3100,christian,Saint Peters Church
358629916,3100,christian,Heber Church
358629926,3100,christian,Meredith Church
358629941,3100,christian,Hebron Church
358629974,3100,christian,Bethany Church
358630045,3100,christian,Mount Olive Church
358630076,3100,christian,Antioch Church
358630077,3100,christian,Sun Valley Church
358630079,3100,christian,Bethany Church
358630087,3100,christian,Wesley Chapel
358630123,3100,christian,Hillside Church
358630220,3100,christian,Saint Johns Church
358630277,3100,christian,Zion Church
358630281,3100,christian,Zion Church
358630288,3100,christian,Bethel Church
358630482,3100,christian,Willowdale Church
358630491,3100,christian,Pleasant Hill Church
358630492,3100,christian,Baptist Church
358630494,3100,christian,Bethlehem Church
358630500,3100,christian,Mount Zion Church
358630513,3100,christian,Saint Pauls Church
358630554,3100,christian,Wesleyan Church
358630563,3100,christian,Mulberry Church
358630649,3100,christian,Saint Pauls Church
358630656,3100,christian,Mount Pleasant Church
358630660,3100,christian,Grace and Truth Gospel Chapel
358630662,3100,christian,New Basel Church
358630665,3100,christian,Ebenezer Church
358630671,3100,christian,Rural Center Church
358630736,3100,christian,Marion Hill Church
358630739,3100,christian,Pleasant Ridge Church
358630754,3100,christian,Immanuel Church
358630860,3100,christian,Immanuel Church
358630925,3100,christian,Freemount Church
358631015,3100,christian,Elm Springs Church
358631016,3100,christian,Friedenstal Church
358631018,3100,christian,Morningstar Church
358631035,3100,christian,Saint Pauls Church
358631037,3100,christian,Rosebank Church
358631044,3100,christian,Hebron Church
358631112,3100,christian,New Gottland Church
358631119,3100,christian,United Center Mennonite Church
358631170,3100,christian,Youngtown Church
358631188,3100,christian,Cottonwood Church
358631191,3100,christian,Saffordville Church
358631209,3100,christian,Monitor Church
358631212,3100,christian,West Liberty Church
358631216,3100,christian,Zion Church
358631237,3100,christian,Emmanuel Church
358631243,3100,christian,Spring Valley Church
358631246,3100,christian,Lone Tree Church
358631251,3100,christian,Immanuel Church
358631264,3100,christian,Alexanderfeld Church of God in Christ
358631279,3100,christian,Our Lady of Perpetual Help Church
358631312,3100,christian,Ebenezer Church
358631320,3100,christian,Sardis Church
358631330,3100,christian,Twin Mounds Church
358631364,3100,christian,Church of Christ
358631372,3100,christian,Prairie View Church
358631382,3100,christian,Cedar Creek Church
358631489,3100,christian,Rosemont Church
358631497,3100,christian,Mount Olivet Church
358631510,3100,christian,Spring Grove Church
358631518,3100,christian,Green Valley Church
358631608,3100,christian,Twin Springs Church
358631693,3100,christian,Zoar Church
358631701,3100,christian,Hoffnungsay Church
358631711,3100,christian,Eden Church
358631715,3100,christian,Hopefield Church
358631733,3100,christian,Meridian Church
358631740,3100,christian,Tabour Church
358631743,3100,christian,Highland Trinity United Church of Christ
358631752,3100,christian,Steinrich Church
358631756,3100,christian,Summit Church
358631782,3100,christian,Verdigris Church
358631833,3100,christian,Scott Valley Church
358631838,3100,christian,Cherry Mound Church
358631862,3100,christian,Wall Street Church
358631865,3100,christian,Wesley Chapel
358631980,3100,christian,Bethany Church
358631987,3100,christian,Mennonite Church
358632002,3100,christian,Pennsylvania Mennonite Church
358632010,3100,christian,East Emmett Church
358632052,3100,christian,Grace Hill Church
358632055,3100,christian,Fairplay Church
358632068,3100,christian,Ebenezer Church
358632070,3100,christian,Eden Church
358632073,3100,christian,First Mennonite Church
358632094,3100,christian,Apostolic Church
358632103,3100,christian,Church of the Brethren
358632159,3100,christian,Northcott Church
358632299,3100,christian,Saint Johns Church
358632314,3100,christian,Round Prairie Church
358632330,3100,christian,Mount Gillian Church
358632336,3100,christian,Sacred Heart Church
358632337,3100,christian,Our Lady of the Snows Church
358632353,3100,christian,Pottawatomie Mission Church
358632382,3100,christian,United Brethren Church
358632408,3100,christian,Edmonds Church (historical}
358632410,3100,christian,Hebron Church
358632419,3100,christian,High Prairie Church
358632431,3100,christian,Friends Church
358632445,3100,christian,Bathel Church
358632652,3100,christian,Midway Chapel
358632658,3100,christian,Bethel Church
358632663,3100,christian,Central Chapel
358632666,3100,christian,Stanwood Church
358632707,3100,christian,Little Stranger Church
358633252,3100,christian,Grinter Chapel
358633369,3100,christian,Church of God
358633441,3100,christian,Grace Temple Baptist Church
358633443,3100,christian,Wesleyan Church
358633456,3100,christian,Saint Michael Monastery
358633724,3105,christian_methodist,Monticello United Methodist Church
358633801,3100,christian,Atonement Church
358633825,3100,christian,Adventist Church
358633962,3100,christian,Stotler Church
358634038,3100,christian,Appanoose Church
358634042,3100,christian,Eightmile Church
358634047,3100,christian,Appanoose Church
358634072,3100,christian,Union Church
358634080,3100,christian,Center Chapel
358634121,3100,christian,Tauy Church
358634139,3100,christian,Antioch Baptist Church
358634249,3100,christian,Bethel Chapel
358634271,3100,christian,Saint Johns Church
358634279,3100,christian,Brethren Church
358634289,3100,christian,Coal Creek Church
358634326,3100,christian,Prairie Center Church
358634331,3100,christian,Captain Creek Church
358634393,3100,christian,Mount Pleasant Church
358634439,3100,christian,Central Church
358634522,3100,christian,Ruhamah Church
358634523,3100,christian,Union Chapel
358634530,3100,christian,Spring Ridge Church
358634537,3100,christian,New Hope Church
358634576,3100,christian,Plum Creek Church
358634614,3100,christian,Miami Church
358635479,3100,christian,Brewster Place Church
358635487,3100,christian,Seward Avenue Baptist Church
358635536,3100,christian,West Side Christian Church
358635542,3100,christian,Topeka Bible Church
358635588,3105,christian_methodist,Lane Chapel Christian Methodist Episcopal Church
358635611,3100,christian,Our Lady of Guadalupe Church
358636217,3100,christian,Unity Missionary Baptist Church
358636226,3100,christian,Sunnyside Baptist Church
358636228,3100,christian,Woodlawn Avenue Baptist Church
358636233,3100,christian,Community Baptist Church
358636235,3100,christian,The Dwelling Church
358636237,3100,christian,First Bible Baptist Church
358636242,3100,christian,Mizpah Baptist Church
358636243,3100,christian,Saint James Baptist Church
358636246,3100,christian,Shiloh Baptist Church
358636248,3100,christian,New Jerusalem Baptist Church
358636251,3100,christian,New Foundation Baptist Church
358636253,3100,christian,Saint Andrews Missionary Baptist Church
358636254,3100,christian,New Zion Baptist Church
358636255,3100,christian,Progressive Missionary Baptist Church
358636258,3100,christian,University Baptist Church
358636259,3100,christian,Wichita Baptist Tabernacle
358636261,3100,christian,Tabernacle Baptist Church
358636263,3100,christian,Strangers Rest Baptist Church
358636266,3100,christian,Christs Anglican Church
358636268,3100,christian,Holy Everlasting Baptist Church
358636269,3100,christian,Paradise Baptist Church
358636272,3100,christian,First Thessalonia Bible Church
358636274,3100,christian,Woodland Baptist Church
